depth,value,measurement
660,27.1752,downdensity
680,27.2019,downdensity
700,27.2162,downdensity
720,27.2288,downdensity
740,27.2544,downdensity
760,27.2685,downdensity
780,27.2813,downdensity
800,27.2999,downdensity
820,27.3083,downdensity
840,27.3199,downdensity
860,27.3307,downdensity
880,27.3412,downdensity
900,27.3523,downdensity
920,27.3585,downdensity
940,27.3666,downdensity
960,27.3725,downdensity
980,27.3849,downdensity
1000,27.3977,downdensity
10,21.3057,updensity
20,21.3204,updensity
30,21.3486,updensity
40,21.4546,updensity
50,21.6203,updensity
60,21.8336,updensity
70,22.8249,updensity
80,24.2097,updensity
90,25.2059,updensity
100,25.6626,updensity
110,25.9708,updensity
120,26.117,updensity
130,26.2255,updensity
140,26.2874,updensity
150,26.3619,updensity
160,26.4036,updensity
170,26.4194,updensity
180,26.4555,updensity
190,26.494,updensity
200,26.5131,updensity
210,26.5468,updensity
220,26.5569,updensity
230,26.5833,updensity
240,26.602,updensity
250,26.6131,updensity
260,26.6321,updensity
270,26.6424,updensity
280,26.6567,updensity
290,26.6708,updensity
300,26.6769,updensity
310,26.6845,updensity
320,26.7037,updensity
330,26.7171,updensity
340,26.731,updensity
350,26.7447,updensity
360,26.7626,updensity
370,26.7869,updensity
380,26.8037,updensity
390,26.8304,updensity
400,26.8531,updensity
410,26.862,updensity
420,26.8681,updensity
430,26.8862,updensity
440,26.8991,updensity
450,26.9107,updensity
460,26.9251,updensity
470,26.947,updensity
480,26.9651,updensity
490,26.9895,updensity
500,27.0062,updensity
520,27.0387,updensity
540,27.061,updensity
560,27.0749,updensity
580,27.1077,updensity
600,27.1265,updensity
620,27.1444,updensity
640,27.1566,updensity
660,27.184,updensity
680,27.2049,updensity
700,27.2234,updensity
720,27.2359,updensity
740,27.2626,updensity
760,27.2709,updensity
780,27.2897,updensity
800,27.3031,updensity
820,27.3111,updensity
840,27.3235,updensity
860,27.3321,updensity
880,27.3427,updensity
900,27.3551,updensity
920,27.3619,updensity
940,27.3698,updensity
960,27.3767,updensity
980,27.3881,updensity
1000,27.3979,updensity
10,27.4563,uptemp1
20,27.4098,uptemp1
30,27.3228,uptemp1
40,27.0862,uptemp1
50,26.8297,uptemp1
60,26.5685,uptemp1
70,24.6923,uptemp1
80,21.2,uptemp1
90,17.3849,uptemp1
100,15.4281,uptemp1
110,14.1,uptemp1
120,13.4634,uptemp1
130,13.0177,uptemp1
140,12.8032,uptemp1
150,12.3808,uptemp1
160,12.1168,uptemp1
170,12.0257,uptemp1
180,11.7877,uptemp1
190,11.5288,uptemp1
200,11.415,uptemp1
210,11.1943,uptemp1
220,11.1595,uptemp1
230,10.9937,uptemp1
240,10.8615,uptemp1
250,10.7822,uptemp1
260,10.6584,uptemp1
270,10.5879,uptemp1
280,10.4877,uptemp1
290,10.3935,uptemp1
300,10.3496,uptemp1
310,10.2957,uptemp1
320,10.1601,uptemp1
330,10.0742,uptemp1
340,9.972,uptemp1
350,9.8652,uptemp1
360,9.7327,uptemp1
370,9.5381,uptemp1
380,9.4168,uptemp1
390,9.1972,uptemp1
400,9.0062,uptemp1
410,8.9315,uptemp1
420,8.9018,uptemp1
430,8.738,uptemp1
440,8.6401,uptemp1
450,8.5237,uptemp1
460,8.3892,uptemp1
470,8.1873,uptemp1
480,8.0523,uptemp1
490,7.86,uptemp1
500,7.7299,uptemp1
520,7.47,uptemp1
540,7.2234,uptemp1
560,7.1231,uptemp1
580,6.8655,uptemp1
600,6.7183,uptemp1
620,6.5609,uptemp1
640,6.4745,uptemp1
660,6.242,uptemp1
680,6.0615,uptemp1
700,5.9281,uptemp1
720,5.8257,uptemp1
740,5.6105,uptemp1
760,5.5428,uptemp1
780,5.3967,uptemp1
800,5.2867,uptemp1
820,5.2198,uptemp1
840,5.1107,uptemp1
860,5.0384,uptemp1
880,4.9481,uptemp1
900,4.8432,uptemp1
920,4.7838,uptemp1
940,4.7183,uptemp1
960,4.6583,uptemp1
980,4.5621,uptemp1
1000,4.4737,uptemp1
10,27.457,uptemp2
20,27.4042,uptemp2
30,27.3184,uptemp2
40,27.0856,uptemp2
50,26.8257,uptemp2
60,26.5457,uptemp2
70,24.6812,uptemp2
80,21.2615,uptemp2
90,17.5753,uptemp2
100,15.4171,uptemp2
110,13.8777,uptemp2
120,13.4462,uptemp2
130,13.0785,uptemp2
140,12.7759,uptemp2
150,12.3845,uptemp2
160,12.0946,uptemp2
170,11.9492,uptemp2
180,11.7815,uptemp2
190,11.5217,uptemp2
200,11.4022,uptemp2
210,11.2041,uptemp2
220,11.1651,uptemp2
230,11.0278,uptemp2
240,10.8355,uptemp2
250,10.7797,uptemp2
260,10.6766,uptemp2
270,10.5854,uptemp2
280,10.483,uptemp2
290,10.4021,uptemp2
300,10.3465,uptemp2
310,10.3043,uptemp2
320,10.1592,uptemp2
330,10.0734,uptemp2
340,9.9775,uptemp2
350,9.8538,uptemp2
360,9.7194,uptemp2
370,9.5344,uptemp2
380,9.4258,uptemp2
390,9.2104,uptemp2
400,9.014,uptemp2
410,8.9369,uptemp2
420,8.8948,uptemp2
430,8.7445,uptemp2
440,8.6442,uptemp2
450,8.5428,uptemp2
460,8.3947,uptemp2
470,8.2027,uptemp2
480,8.0183,uptemp2
490,7.8624,uptemp2
500,7.7326,uptemp2
520,7.457,uptemp2
540,7.2242,uptemp2
560,7.0636,uptemp2
580,6.8644,uptemp2
600,6.7276,uptemp2
620,6.563,uptemp2
640,6.4721,uptemp2
660,6.1923,uptemp2
680,6.057,uptemp2
700,5.9416,uptemp2
720,5.8086,uptemp2
740,5.6064,uptemp2
760,5.5424,uptemp2
780,5.3908,uptemp2
800,5.2892,uptemp2
820,5.2207,uptemp2
840,5.113,uptemp2
860,5.0384,uptemp2
880,4.9456,uptemp2
900,4.8437,uptemp2
920,4.7828,uptemp2
940,4.7175,uptemp2
960,4.6535,uptemp2
980,4.5628,uptemp2
1000,4.472,uptemp2
10,33.314,upsalinity1
20,33.3128,upsalinity1
30,33.3123,upsalinity1
40,33.352,upsalinity1
50,33.4633,upsalinity1
60,33.6363,upsalinity1
70,34.1855,upsalinity1
80,34.6909,upsalinity1
90,34.7121,upsalinity1
100,34.7161,upsalinity1
110,34.7421,upsalinity1
120,34.7599,upsalinity1
130,34.7831,upsalinity1
140,34.8075,upsalinity1
150,34.7963,upsalinity1
160,34.7841,upsalinity1
170,34.7816,upsalinity1
180,34.7698,upsalinity1
190,34.7567,upsalinity1
200,34.7539,upsalinity1
210,34.745,upsalinity1
220,34.7495,upsalinity1
230,34.7445,upsalinity1
240,34.7378,upsalinity1
250,34.7336,upsalinity1
260,34.7296,upsalinity1
270,34.7265,upsalinity1
280,34.722,upsalinity1
290,34.7188,upsalinity1
300,34.7165,upsalinity1
310,34.714,upsalinity1
320,34.7085,upsalinity1
330,34.7065,upsalinity1
340,34.7017,upsalinity1
350,34.696,upsalinity1
360,34.6901,upsalinity1
370,34.6798,upsalinity1
380,34.6754,upsalinity1
390,34.6637,upsalinity1
400,34.6534,upsalinity1
410,34.6494,upsalinity1
420,34.6509,upsalinity1
430,34.6409,upsalinity1
440,34.6377,upsalinity1
450,34.6293,upsalinity1
460,34.6213,upsalinity1
470,34.6099,upsalinity1
480,34.6071,upsalinity1
490,34.6018,upsalinity1
500,34.5986,upsalinity1
520,34.592,upsalinity1
540,34.5757,upsalinity1
560,34.5753,upsalinity1
580,34.5718,upsalinity1
600,34.5702,upsalinity1
620,34.566,upsalinity1
640,34.5667,upsalinity1
660,34.5628,upsalinity1
680,34.5598,upsalinity1
700,34.5617,upsalinity1
720,34.5611,upsalinity1
740,34.5613,upsalinity1
760,34.5611,upsalinity1
780,34.5625,upsalinity1
800,34.5628,upsalinity1
820,34.5627,upsalinity1
840,34.5621,upsalinity1
860,34.5622,upsalinity1
880,34.5624,upsalinity1
900,34.5628,upsalinity1
920,34.5628,upsalinity1
940,34.5634,upsalinity1
960,34.5634,upsalinity1
980,34.5643,upsalinity1
1000,34.5644,upsalinity1
10,33.3144,upsalinity2
20,33.3133,upsalinity2
30,33.3136,upsalinity2
40,33.3524,upsalinity2
50,33.4646,upsalinity2
60,33.6409,upsalinity2
70,34.1818,upsalinity2
80,34.6819,upsalinity2
90,34.6951,upsalinity2
100,34.7152,upsalinity2
110,34.7431,upsalinity2
120,34.7615,upsalinity2
130,34.7814,upsalinity2
140,34.8078,upsalinity2
150,34.7954,upsalinity2
160,34.7792,upsalinity2
170,34.7767,upsalinity2
180,34.7679,upsalinity2
190,34.7583,upsalinity2
200,34.7515,upsalinity2
210,34.7429,upsalinity2
220,34.7488,upsalinity2
230,34.7437,upsalinity2
240,34.7355,upsalinity2
250,34.7342,upsalinity2
260,34.7279,upsalinity2
270,34.7243,upsalinity2
280,34.7207,upsalinity2
290,34.7181,upsalinity2
300,34.7146,upsalinity2
310,34.7131,upsalinity2
320,34.7068,upsalinity2
330,34.704,upsalinity2
340,34.6987,upsalinity2
350,34.6931,upsalinity2
360,34.6877,upsalinity2
370,34.6738,upsalinity2
380,34.6737,upsalinity2
390,34.6607,upsalinity2
400,34.6501,upsalinity2
410,34.6475,upsalinity2
420,34.647,upsalinity2
430,34.6396,upsalinity2
440,34.6347,upsalinity2
450,34.6282,upsalinity2
460,34.6185,upsalinity2
470,34.6089,upsalinity2
480,34.6032,upsalinity2
490,34.6006,upsalinity2
500,34.597,upsalinity2
520,34.5879,upsalinity2
540,34.5736,upsalinity2
560,34.569,upsalinity2
580,34.5702,upsalinity2
600,34.567,upsalinity2
620,34.5642,upsalinity2
640,34.5649,upsalinity2
660,34.557,upsalinity2
680,34.5577,upsalinity2
700,34.5585,upsalinity2
720,34.559,upsalinity2
740,34.5589,upsalinity2
760,34.5597,upsalinity2
780,34.5607,upsalinity2
800,34.5613,upsalinity2
820,34.5618,upsalinity2
840,34.561,upsalinity2
860,34.5614,upsalinity2
880,34.5612,upsalinity2
900,34.5621,upsalinity2
920,34.5613,upsalinity2
940,34.5632,upsalinity2
960,34.5644,upsalinity2
980,34.5637,upsalinity2
1000,34.5642,upsalinity2
