depth,value,measurement
960,34.5464,primarysalinity1
980,34.5479,primarysalinity1
1000,34.5497,primarysalinity1
10,35.5897,primarysalinity2
20,35.5887,primarysalinity2
30,35.59,primarysalinity2
40,35.5968,primarysalinity2
50,35.59,primarysalinity2
60,35.5598,primarysalinity2
70,35.5242,primarysalinity2
80,35.4087,primarysalinity2
90,35.263,primarysalinity2
100,35.0834,primarysalinity2
110,35.0329,primarysalinity2
120,35.0179,primarysalinity2
130,35.0074,primarysalinity2
140,34.9879,primarysalinity2
150,34.9768,primarysalinity2
160,34.959,primarysalinity2
170,34.9433,primarysalinity2
180,34.9245,primarysalinity2
190,34.9036,primarysalinity2
200,34.896,primarysalinity2
210,34.8871,primarysalinity2
220,34.8813,primarysalinity2
230,34.8767,primarysalinity2
240,34.8677,primarysalinity2
250,34.8507,primarysalinity2
260,34.8431,primarysalinity2
270,34.8304,primarysalinity2
280,34.8214,primarysalinity2
290,34.8089,primarysalinity2
300,34.7995,primarysalinity2
310,34.786,primarysalinity2
320,34.7777,primarysalinity2
330,34.7723,primarysalinity2
340,34.7604,primarysalinity2
350,34.7485,primarysalinity2
360,34.7448,primarysalinity2
370,34.7367,primarysalinity2
380,34.7146,primarysalinity2
390,34.7012,primarysalinity2
400,34.6856,primarysalinity2
410,34.6656,primarysalinity2
420,34.6599,primarysalinity2
430,34.655,primarysalinity2
440,34.6474,primarysalinity2
450,34.6416,primarysalinity2
460,34.6327,primarysalinity2
470,34.6262,primarysalinity2
480,34.6199,primarysalinity2
490,34.6104,primarysalinity2
500,34.6065,primarysalinity2
520,34.5885,primarysalinity2
540,34.5857,primarysalinity2
560,34.5773,primarysalinity2
580,34.5644,primarysalinity2
600,34.5579,primarysalinity2
620,34.5543,primarysalinity2
640,34.5463,primarysalinity2
660,34.5481,primarysalinity2
680,34.5438,primarysalinity2
700,34.5414,primarysalinity2
720,34.5415,primarysalinity2
740,34.541,primarysalinity2
760,34.542,primarysalinity2
780,34.5402,primarysalinity2
800,34.5396,primarysalinity2
820,34.5406,primarysalinity2
840,34.5411,primarysalinity2
860,34.542,primarysalinity2
880,34.544,primarysalinity2
900,34.5443,primarysalinity2
920,34.5452,primarysalinity2
940,34.5456,primarysalinity2
960,34.5474,primarysalinity2
980,34.5492,primarysalinity2
1000,34.5496,primarysalinity2
10,35.5936,secondarysalinity1
20,35.5922,secondarysalinity1
30,35.5905,secondarysalinity1
40,35.594,secondarysalinity1
50,35.6013,secondarysalinity1
60,35.5949,secondarysalinity1
70,35.5595,secondarysalinity1
80,35.517,secondarysalinity1
90,35.4088,secondarysalinity1
100,35.2974,secondarysalinity1
110,35.1355,secondarysalinity1
120,35.04,secondarysalinity1
130,35.0065,secondarysalinity1
140,35.0002,secondarysalinity1
150,34.9871,secondarysalinity1
160,34.9635,secondarysalinity1
170,34.9526,secondarysalinity1
180,34.9341,secondarysalinity1
190,34.9063,secondarysalinity1
200,34.8975,secondarysalinity1
210,34.8896,secondarysalinity1
220,34.8838,secondarysalinity1
230,34.8771,secondarysalinity1
240,34.8719,secondarysalinity1
250,34.8623,secondarysalinity1
260,34.8523,secondarysalinity1
270,34.8465,secondarysalinity1
280,34.8302,secondarysalinity1
290,34.8208,secondarysalinity1
300,34.8068,secondarysalinity1
310,34.8013,secondarysalinity1
320,34.7879,secondarysalinity1
330,34.7785,secondarysalinity1
340,34.7739,secondarysalinity1
350,34.7604,secondarysalinity1
360,34.7496,secondarysalinity1
370,34.7443,secondarysalinity1
380,34.7395,secondarysalinity1
390,34.7243,secondarysalinity1
400,34.7034,secondarysalinity1
410,34.6906,secondarysalinity1
420,34.6765,secondarysalinity1
430,34.6609,secondarysalinity1
440,34.6541,secondarysalinity1
450,34.6461,secondarysalinity1
460,34.6378,secondarysalinity1
470,34.6276,secondarysalinity1
480,34.617,secondarysalinity1
490,34.6087,secondarysalinity1
500,34.6042,secondarysalinity1
520,34.5915,secondarysalinity1
540,34.5841,secondarysalinity1
560,34.576,secondarysalinity1
580,34.5634,secondarysalinity1
600,34.5569,secondarysalinity1
620,34.5516,secondarysalinity1
640,34.546,secondarysalinity1
660,34.5491,secondarysalinity1
680,34.5439,secondarysalinity1
700,34.5422,secondarysalinity1
720,34.5413,secondarysalinity1
740,34.5409,secondarysalinity1
760,34.5417,secondarysalinity1
780,34.5406,secondarysalinity1
800,34.5397,secondarysalinity1
820,34.541,secondarysalinity1
840,34.5417,secondarysalinity1
860,34.5424,secondarysalinity1
880,34.544,secondarysalinity1
900,34.5444,secondarysalinity1
920,34.5448,secondarysalinity1
940,34.5462,secondarysalinity1
960,34.5476,secondarysalinity1
980,34.549,secondarysalinity1
1000,34.5505,secondarysalinity1
10,35.5912,secondarysalinity2
20,35.5904,secondarysalinity2
30,35.5923,secondarysalinity2
40,35.5983,secondarysalinity2
50,35.5919,secondarysalinity2
60,35.5711,secondarysalinity2
70,35.5204,secondarysalinity2
80,35.3533,secondarysalinity2
90,35.2506,secondarysalinity2
100,35.0639,secondarysalinity2
110,35.0347,secondarysalinity2
120,35.0155,secondarysalinity2
130,35.0036,secondarysalinity2
140,34.9819,secondarysalinity2
150,34.9764,secondarysalinity2
160,34.9515,secondarysalinity2
170,34.9371,secondarysalinity2
180,34.9216,secondarysalinity2
190,34.8988,secondarysalinity2
200,34.8953,secondarysalinity2
210,34.8876,secondarysalinity2
220,34.8801,secondarysalinity2
230,34.8752,secondarysalinity2
240,34.8638,secondarysalinity2
250,34.8487,secondarysalinity2
260,34.8422,secondarysalinity2
270,34.8298,secondarysalinity2
280,34.8105,secondarysalinity2
290,34.8077,secondarysalinity2
300,34.7991,secondarysalinity2
310,34.7866,secondarysalinity2
320,34.7752,secondarysalinity2
330,34.7697,secondarysalinity2
340,34.7597,secondarysalinity2
350,34.7455,secondarysalinity2
360,34.7429,secondarysalinity2
370,34.7337,secondarysalinity2
380,34.7111,secondarysalinity2
390,34.7019,secondarysalinity2
400,34.6886,secondarysalinity2
410,34.6635,secondarysalinity2
420,34.6576,secondarysalinity2
430,34.6534,secondarysalinity2
440,34.6476,secondarysalinity2
450,34.6402,secondarysalinity2
460,34.6246,secondarysalinity2
470,34.6251,secondarysalinity2
480,34.6167,secondarysalinity2
490,34.6068,secondarysalinity2
500,34.6054,secondarysalinity2
520,34.5916,secondarysalinity2
540,34.5837,secondarysalinity2
560,34.5752,secondarysalinity2
580,34.5632,secondarysalinity2
600,34.5567,secondarysalinity2
620,34.552,secondarysalinity2
640,34.5459,secondarysalinity2
660,34.5449,secondarysalinity2
680,34.5402,secondarysalinity2
700,34.5415,secondarysalinity2
720,34.5402,secondarysalinity2
740,34.5402,secondarysalinity2
760,34.5415,secondarysalinity2
780,34.5403,secondarysalinity2
800,34.5389,secondarysalinity2
820,34.5404,secondarysalinity2
840,34.541,secondarysalinity2
860,34.5417,secondarysalinity2
880,34.544,secondarysalinity2
900,34.5437,secondarysalinity2
920,34.5453,secondarysalinity2
940,34.5455,secondarysalinity2
960,34.5474,secondarysalinity2
980,34.5495,secondarysalinity2
1000,34.5503,secondarysalinity2
10,24.2044,density1
20,24.2153,density1
30,24.2331,density1
40,24.2407,density1
50,24.2618,density1
60,24.2781,density1
70,24.3645,density1
80,24.5919,density1
90,25.0989,density1
100,25.337,density1
110,25.5779,density1
120,25.9063,density1
130,26.0795,density1
140,26.1692,density1
150,26.2124,density1
160,26.2694,density1
170,26.3078,density1
180,26.3538,density1
190,26.3963,density1
200,26.4171,density1
210,26.4332,density1
220,26.4488,density1
230,26.4683,density1
240,26.4944,density1
250,26.5122,density1
260,26.5265,density1
270,26.5361,density1
280,26.5709,density1
290,26.5982,density1
300,26.6269,density1
310,26.6402,density1
320,26.6687,density1
330,26.6876,density1
340,26.6996,density1
350,26.7225,density1
360,26.7448,density1
370,26.7547,density1
380,26.7642,density1
390,26.7876,density1
400,26.8187,density1
410,26.8405,density1
420,26.8665,density1
430,26.8971,density1
440,26.9141,density1
450,26.9317,density1
460,26.9476,density1
470,26.9682,density1
480,26.9939,density1
490,27.0143,density1
500,27.0288,density1
520,27.0599,density1
540,27.0832,density1
560,27.1055,density1
580,27.1305,density1
600,27.1474,density1
620,27.1671,density1
640,27.1865,density1
660,27.2002,density1
680,27.2172,density1
700,27.2358,density1
720,27.2508,density1
740,27.2678,density1
760,27.2806,density1
780,27.2912,density1
800,27.3018,density1
820,27.312,density1
840,27.3229,density1
860,27.3332,density1
880,27.3461,density1
900,27.3552,density1
920,27.3628,density1
940,27.375,density1
960,27.3834,density1
980,27.3931,density1
1000,27.4029,density1
10,24.2116,density2
20,24.2194,density2
30,24.2371,density2
40,24.2576,density2
50,24.2797,density2
60,24.3931,density2
70,24.7171,density2
80,25.201,density2
90,25.4183,density2
100,25.6698,density2
110,25.9423,density2
120,26.1107,density2
130,26.169,density2
140,26.2058,density2
150,26.2369,density2
160,26.2978,density2
170,26.3409,density2
180,26.3806,density2
190,26.411,density2
200,26.4219,density2
210,26.4462,density2
220,26.4603,density2
230,26.4849,density2
240,26.5088,density2
250,26.5288,density2
260,26.548,density2
270,26.5684,density2
280,26.6091,density2
290,26.6306,density2
300,26.645,density2
310,26.676,density2
320,26.6959,density2
330,26.7067,density2
340,26.7294,density2
350,26.7486,density2
360,26.7595,density2
370,26.7798,density2
380,26.8075,density2
390,26.8315,density2
400,26.8523,density2
410,26.8819,density2
420,26.9028,density2
430,26.9176,density2
440,26.9305,density2
450,26.9494,density2
460,26.9663,density2
470,26.9798,density2
480,26.9964,density2
490,27.0182,density2
500,27.0256,density2
520,27.0605,density2
540,27.0853,density2
560,27.1092,density2
580,27.1357,density2
600,27.1504,density2
620,27.1683,density2
640,27.1906,density2
660,27.2038,density2
680,27.2226,density2
700,27.2398,density2
720,27.255,density2
740,27.2714,density2
760,27.2827,density2
780,27.2951,density2
800,27.3052,density2
820,27.316,density2
840,27.326,density2
860,27.3379,density2
880,27.3495,density2
900,27.3577,density2
920,27.3665,density2
940,27.378,density2
960,27.3867,density2
980,27.3967,density2
1000,27.4025,density2
